# w1 w2 "Data Height"
 138.05 4.745 262947.67
 23.33 4.745 247794.1
 81.96 4.745 229224
 107.59 4.745 219609.63
 108.98 4.745 194559.83
 139.31 4.745 189024.58
 14.57 4.745 153951.31
 27.01 4.745 144184.16
 48.83 4.745 141146.35
 105.56 4.745 136531.73
 103.27 4.745 136332.89
 115.96 4.745 128772.66
 135.63 4.745 119643.27
 65.58 4.745 111192.75
 49.98 4.745 101049.45
 134.62 4.745 91232.96
 89.44 4.745 83162.17
 128.27 4.745 83013.65
 32.21 4.745 80579.07
 86.78 4.745 64320.81
 61.02 4.745 62678.26
 88.17 4.745 59683.2
 106.83 4.745 48397.68
 25.48 4.745 35949.41
 47.06 4.745 28012.16
 87.41 4.748 313560.5
 117.36 4.748 239707.46
 68 4.748 203086.13
 5.56 4.748 178755.31
 125.36 4.748 166707.8
 24.47 4.748 164023.27
 57.59 4.748 150606.95
 84.87 4.748 141637.41
 7.46 4.748 139499.03
 3.4 4.748 105336.95
 42.36 4.748 81095.92
 1.12 4.748 79157.68
 34.87 4.748 77673.07
 33.35 4.748 65830.75
 56.07 4.748 55064.47
 22.18 4.748 29137.85
 21.17 4.748 25612.29
 53.02 4.748 22411.71
 100.74 4.751 176474.17
 41.09 4.751 147527.56
 72.56 4.751 124853.52
 106.57 4.751 87728.86
 39.95 4.751 47556.22
 63.55 4.751 31996.8
 24.72 4.755 427856.97
 28.66 4.755 304977.94
 27.13 4.755 287489.44
 120.79 4.755 275595.87
 48.83 4.755 257504.71
 80.81 4.755 216376.75
 135.76 4.755 209257.37
 103.27 4.755 169336
 136.9 4.755 135118.37
 76.37 4.755 100230.73
 79.16 4.755 39390.12
 104.8 4.755 33839.89
 18.5 4.755 30658.04
 14.57 4.758 690384.44
 123.58 4.758 668595.63
 83.1 4.758 619758.69
 117.49 4.758 513852.62
 82.08 4.758 478343.77
 115.96 4.758 439995.73
 87.03 4.758 426136.35
 32.21 4.758 421925.81
 38.3 4.758 395036.09
 107.08 4.758 378310.97
 66.85 4.758 361725.69
 64.57 4.758 360186.89
 5.31 4.758 344522.79
 130.18 4.758 326111.16
 100.99 4.758 306414.1
 42.24 4.758 283460.88
 105.56 4.758 219300.2
 102.39 4.758 171324.89
 92.61 4.758 170013.65
 114.31 4.758 169482.71
